sample_index,alpha,gamma
1,1.4996824306000083,0.22777891226084077
2,1.0421810913402498,0.28272399273539456
3,0.6717413901945435,0.21879236652778716
4,0.9924011670393833,0.3452805130132556
5,1.3625659460434074,0.2709815270315122
6,1.068510454150992,0.3289175247675798
7,1.119207717474119,0.2506691352042576
8,1.1496885787234679,0.15977557785264085
9,1.2116563495702501,0.29198287313768195
10,1.3071770731832117,0.20837454099329444
11,0.6168764283230416,0.3050891293936539
12,1.3277223633801813,0.1870941720467435
13,0.4470076997928266,0.31994266342052274
14,0.55741774346804,0.13664544543736845
15,1.4369577959249185,0.3334782648940519
16,0.47965691626363904,0.29876951702104093
17,1.08325581113143,0.2571256288688645
18,0.9459866151285865,0.13841730999763274
19,0.39421082840855637,0.10372557739396535
20,0.381332045760086,0.10932652863430037
21,0.8912979944924073,0.34146663098124796
22,0.5160381255411873,0.18914685243590007
23,0.8415948172729915,0.24055969755974174
24,0.8140087692377866,0.11276212639777056
25,0.97704324416377,0.31489101375437295
26,1.1936180845905273,0.1735186482600404
27,0.5715577774261251,0.16729340215370103
28,0.7016874521027685,0.23409964807629963
29,0.4948318669815416,0.2807203448401669
30,0.6435804265636518,0.1209279377348451
31,0.3563941463163535,0.249082675935506
32,0.9138222142684989,0.31096890092428975
33,0.7998596169144384,0.21466004678835154
34,1.252556510200068,0.26456934504796603
35,0.7400805107890114,0.20044478376627736
36,0.7612563737145162,0.14393954016523314
37,0.3086617830433954,0.15462154597396438
38,1.4602868312557076,0.19876295040571437
39,1.4090865739686989,0.1799556194912694
40,1.2783933566765824,0.1299496644434149
