sample_index,alpha,delta
1,0.8535957812012795,0.046145971836595974
2,0.3746313489748331,0.03564273116827732
3,0.5183819367839502,0.08487849522430509
4,1.2332999161080431,0.0987157185887708
5,0.6790875625533835,0.0738511528219003
6,1.4632342133250094,0.025493480031865502
7,1.0531139824171547,0.04200012478791139
8,0.7629545414847018,0.02720542434812514
9,0.30674425224886204,0.05451081297484191
10,1.2641973065921663,0.08053887059645462
11,0.5898070666964903,0.08244224069225842
12,0.40999715412554816,0.03103359517763201
13,0.44271898876121163,0.06341703225863261
14,0.48684717425487145,0.07974328679751541
15,1.1056765985064123,0.04500504992921821
16,1.160933323074142,0.0642613123610394
17,0.6425522298704676,0.013492558144270549
18,0.7339874441561459,0.040633295019903544
19,1.3840310847332724,0.07608495775837819
20,0.7844822373879199,0.010490281776821793
21,1.2913290330060836,0.05214083563738186
22,0.9133442909056162,0.05605227893621098
23,1.2274818833027183,0.09763083260434556
24,0.9514600549584555,0.018671708664701966
25,0.7028936648616481,0.028736098335077946
26,0.5574017261947006,0.06992261334852436
27,0.9723216222347999,0.0947357352359147
28,1.4173546953227216,0.020891047290797306
29,1.4773779294131084,0.016465886721945655
30,0.3359328377868083,0.08794661311029953
31,1.0388967649015737,0.0343231546031236
32,0.45187815695665,0.08875317504604914
33,0.8893244417324297,0.07117370894819022
34,1.0085224833248492,0.061681865526810195
35,1.1256767568290793,0.06631158561603895
36,0.6024322380997145,0.023149070399387097
37,1.172304640963057,0.09267860632426946
38,1.3664786796695112,0.05876520349629325
39,1.3455236999736284,0.04870623909825705
40,0.8179215634482708,0.037759591276639345
