sample_index,beta,gamma,max_prey
1,0.203311963239417,0.1586165687662748,23.672885966203072
2,0.1584816036938355,0.2333670648220196,50.009137107073556
3,0.2438463153570602,0.2176170714530558,44.59920967878272
4,0.1617015000946102,0.131924654714984,23.223530982831512
5,0.1485983648067845,0.2279100197223827,51.17243647435129
6,0.109307747547752,0.261860514425874,79.62538871695652
7,0.1977139143358215,0.3158922975448026,72.79852384885115
8,0.1666897800716988,0.2959171195738062,68.55169942379761
9,0.076154560832433,0.1827318669331735,83.48359957814469
10,0.0496658738138897,0.1650899940844448,114.39570965881583
11,0.0890658603603404,0.2469731954730148,90.66604558880567
12,0.177245059376741,0.2894472239009621,64.84262613323621
13,0.1115625070654451,0.1886228723212537,56.87723658481011
14,0.1880034796659017,0.3388249062055634,81.328119475839
15,0.1275461420715285,0.2873414846853254,77.784422690778
16,0.0570354781856511,0.199805858300719,112.37999053351145
17,0.1019291422385383,0.1501336082364768,53.58984522272311
18,0.0821018116269593,0.2019560773474805,82.87142750051164
19,0.2161800568720683,0.1267933714595758,17.085900914673147
20,0.0319995320170099,0.1200187840946985,140.56286781972116
21,0.1526713732973267,0.3059552005364072,75.39187402566688
22,0.1245757880507534,0.2809426994775839,77.12881971023282
23,0.1388319524329981,0.2079965900545427,48.893264339480524
24,0.2344672057883595,0.1067477900238324,16.940914634904573
25,0.0468318300699177,0.1762712791234266,122.79598701732974
26,0.2086613272084674,0.309094585721044,70.33893434355512
27,0.192134772251885,0.105563056973291,12.029958820845124
28,0.073056716253984,0.2741879003075979,115.09460177576804
29,0.0593076874987277,0.1438627673038043,93.40503915136594
30,0.2227237625157831,0.2651391820079767,56.3862020562463
31,0.1750894567994207,0.2203251199637549,42.80508727728025
32,0.0959339477255559,0.3207848444732092,109.08954337850473
33,0.0295020146227121,0.2518067259924115,190.18762318289714
34,0.1203459275627578,0.1409879339737898,40.8051306942509
35,0.1359713191406722,0.1132237841688499,28.420592189532485
36,0.0656635590980987,0.1714941686581204,92.42432887669533
37,0.0368339023867684,0.3445709895768754,201.57724268629144
38,0.2278033941294646,0.3342773284662708,80.84390746970789
39,0.2445194276252883,0.326365946936098,80.55572532518346
40,0.2191007777130728,0.2407119422372159,48.3379532239774
