sample_index,alpha,gamma,max_prey
1,0.3427982972668875,0.1694476363727882,33.05389417694237
2,0.6449157194219641,0.2597709062569103,57.263820915749896
3,0.9720363947377166,0.1439847716492493,50.828488556584524
4,1.2465547544568378,0.2009267837008452,94.93294795851409
5,1.45339422441733,0.3483673780291212,168.49982824411893
6,1.118402280562693,0.285576015454781,106.78527403365379
7,0.7776208130381361,0.1098563147588432,27.851953038936937
8,0.8220364309386226,0.2414590197688518,62.91124687937479
9,1.3395894306221572,0.3197052206592545,142.79361875249026
10,0.4517371697597387,0.1866607126586292,31.909522304891656
